,Cumulative_Returns,Close,Square_Root_Close,Log_Close,Close_Squared,Close_Cubed,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Lower_Band,Moving_Average_15,Long_EMA,Upper_Band,Price_RoC_60,Price_RoC_45,Signal_Line,MACD,Std_Dev_RoC_10,Price_RoC_30,Std_Dev_RoC_5,Price_RoC_15,Rolling_Std,Price_RoC_12,Price_RoC_10,RSI,Price_RoC_7,Price_RoC_5,Loss,Sin_Close,Price_RoC_3,Z_Score,RS,Price_Delta,Log_Returns,Expanding_Mean,Price_RoC,Gain,Tan_Close,Cos_Close
13,0.01,0.01,0.01,,0.03,0.04,0.01,0.01,0.01,0.01,,,,0.01,,,0.01,,,,,0.2,,0.46,,0.41,,,0.21,,,1.12,,,,0.37,,,,,1.96,4.37,1.14
14,0.01,0.01,0.01,,0.02,0.04,0.01,0.01,,,,,,,,,0.01,,,,,0.3,,0.24,,0.07,,,0.11,6.92,2.95,1.83,,2.25,3.05,0.21,5.57,5.55,,5.33,1.19,18.97,1.37
15,0.16,0.16,0.08,0.05,0.32,0.47,0.16,0.14,0.12,0.08,0.08,0.07,0.07,0.21,0.04,0.04,0.05,,,,,0.64,,0.86,,0.73,,,0.68,,,1.44,,,,1.0,,,,,2.44,,
16,0.03,0.03,0.01,0.01,0.06,0.08,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.06,0.06,0.03,0.1,,,,,0.32,,0.48,,0.64,,,0.4,,4.89,1.72,0.23,2.05,2.83,0.6,2.55,2.54,,2.51,1.49,,
17,0.01,0.01,0.01,,0.03,0.04,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.03,0.02,,0.02,,,,,0.54,,0.33,0.67,0.13,0.45,0.41,0.18,0.64,1.02,1.53,,1.8,0.68,0.54,3.69,3.63,,3.54,1.29,0.86,
18,0.02,0.02,0.01,0.01,0.05,0.07,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.03,0.01,0.01,0.01,,,,,0.15,,0.7,,0.23,,,0.41,,,0.77,0.55,,,0.62,,,,,2.18,5.55,
19,0.03,0.03,0.01,0.01,0.05,0.08,0.03,0.02,0.02,0.01,0.01,0.01,0.01,,0.01,,0.02,,,,,0.42,0.65,0.51,,0.28,,22.3,0.53,2.18,1.41,2.17,0.65,0.82,1.55,0.85,1.22,1.24,,1.24,1.01,,
20,0.04,0.04,0.02,0.01,0.08,0.11,0.04,0.03,0.03,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,,1.02,,,0.22,,0.68,1.38,0.2,2.63,7.76,0.31,,,1.53,1.54,,,1.14,,,,,1.5,,
21,0.03,0.03,0.01,0.01,0.05,0.08,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,,,,,0.48,,0.35,,0.28,,,0.17,,,1.24,0.46,,,0.26,,,,,1.24,2.42,1.38
22,0.02,0.02,0.01,0.01,0.03,0.05,0.02,0.01,0.01,,,,,0.01,,,0.01,,,,,0.1,,0.57,,0.14,,,0.09,,,1.42,0.44,,,0.17,13.0,12.75,,11.44,1.32,1.09,0.53
23,0.04,0.04,0.02,0.01,0.07,0.11,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.03,,,,,0.26,,0.38,1.87,0.34,1.48,2.07,0.13,1.37,1.11,2.7,0.51,1.48,1.71,0.29,2.31,2.39,,2.36,1.37,,
24,0.07,0.07,0.03,0.02,0.15,0.23,0.07,0.04,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.05,1.32,3.33,0.54,0.42,0.33,0.96,0.82,0.54,0.59,0.68,0.79,0.1,1.34,1.68,1.89,1.2,2.42,1.69,0.33,3.71,3.74,,3.61,2.15,,
25,0.02,0.02,0.01,0.01,0.04,0.06,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.19,0.13,0.16,0.05,0.02,0.11,0.42,0.2,0.02,0.22,0.25,0.07,0.13,1.03,0.9,5.68,5.55,0.57,0.22,,,,,2.0,4.81,0.1
