,Feature,Importance
16,Expanding_Mean,0.09415309
3,Log_Close,0.006662802
8,EMA,0.0040499577
4,Close_Squared,0.0031134472
9,Short_EMA,0.0029430876
11,Moving_Average_10,0.0028459495
15,Long_EMA,0.0027479723
14,Lower_Band,0.0022309024
5,Close_Inverse,0.0022091256
1,Close,0.0021488122
7,Moving_Average_5,0.0021483048
13,Moving_Average_15,0.0017947409
6,Moving_Average_3,0.0017092775
2,Square_Root_Close,0.0016593359
0,Cumulative_Returns,0.0012963266
10,Rolling_Mean,0.0012356896
12,Upper_Band,0.001022671
