,Feature,Importance
17,Expanding_Mean,0.092184626
16,Long_EMA,0.0055654454
14,Moving_Average_15,0.0047312044
7,Moving_Average_3,0.004634573
6,Close_Inverse,0.0042941784
3,Close_Squared,0.004196043
11,Rolling_Mean,0.0040075397
8,Moving_Average_5,0.0038105913
0,Close,0.0037509378
1,Cumulative_Returns,0.0035642155
2,Square_Root_Close,0.003058678
5,Close_Cubed,0.003038539
10,Short_EMA,0.002455171
13,Upper_Band,0.0024432708
4,Log_Close,0.00237433
9,EMA,0.0020012707
15,Lower_Band,0.0017241169
12,Moving_Average_10,0.0011546046
