,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Squared,Moving_Average_3,Moving_Average_5,Close_Cubed,Close_Inverse,EMA,Upper_Band,Rolling_Mean,Moving_Average_10,Short_EMA,Moving_Average_15,Lower_Band,Long_EMA,Price_RoC_60,Price_RoC_45,Expanding_Mean,Signal_Line,MACD,Price_RoC_30,Rolling_Std,Price_RoC_15,Cos_Close,RSI,RS,Price_RoC_12,Price_RoC_10,Price_RoC_7,Gain,Price_RoC_5,Sin_Close,Price_RoC_3,Z_Score,Loss,Price_Delta,Log_Returns,Price_RoC,Tan_Close,Std_Dev_RoC_10,Std_Dev_RoC_5
10,0.03,0.03,0.02,0.01,0.07,0.02,0.02,0.1,0.03,0.01,,0.01,0.01,0.01,,0.01,,0.17,0.27,0.01,0.26,0.45,0.7,0.11,,1.42,0.07,0.14,,,,2.16,,,,,1.01,,,,3.58,0.16,0.35
11,0.03,0.03,0.01,0.01,0.05,0.03,0.03,0.08,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.02,0.13,1.89,0.01,,,,0.27,,,0.26,0.39,,,,2.09,,,,,1.06,,,,1.64,0.29,0.4
12,0.02,0.02,0.01,0.01,0.03,0.02,0.01,0.05,0.02,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.93,,,,,,0.13,,,0.15,0.24,,,,1.96,,2.07,,,1.4,,,,,0.29,0.23
13,0.04,0.04,0.02,0.01,0.09,0.04,0.03,0.13,0.04,0.03,0.01,0.02,0.02,0.02,0.02,0.05,0.02,,,,,,,0.48,,,0.22,0.37,,,,2.35,,0.39,,,0.86,,,,2.85,0.24,0.18
14,0.04,0.04,0.02,0.01,0.09,0.04,0.03,0.13,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,,,,,,,0.09,,0.55,0.14,0.21,,,,1.51,,0.73,,,1.4,,,,3.85,0.05,0.18
15,0.04,0.04,0.02,0.02,0.09,0.04,0.04,0.14,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.06,0.03,,,,,,,0.2,,0.67,0.18,0.25,,,,1.55,,,,,1.24,,,,,0.13,0.32
16,0.05,0.05,0.02,0.02,0.09,0.05,0.04,0.14,0.05,0.02,0.05,0.02,0.02,0.02,0.01,0.02,,,,,,,,0.43,,0.37,0.31,0.58,2.92,1.66,0.72,0.96,0.96,,0.94,0.81,1.81,2.31,2.27,2.2,,0.39,0.47
17,0.04,0.04,0.02,0.02,0.09,0.05,0.06,0.12,0.05,0.05,0.06,0.05,0.05,0.04,0.05,0.04,0.03,,,,,0.74,0.64,0.2,0.25,,0.07,0.29,0.33,0.3,0.4,1.52,0.94,0.29,1.68,0.58,1.77,2.52,2.5,2.46,,0.1,0.3
18,0.08,0.08,0.04,0.03,0.17,0.08,0.07,0.25,0.08,0.05,0.09,0.04,0.04,0.05,0.04,0.03,0.04,2.13,0.74,,0.29,0.3,0.42,0.6,0.21,,0.06,0.28,0.29,0.55,0.87,0.82,0.75,,0.55,0.4,,0.82,0.8,0.81,,0.17,0.34
19,0.03,0.03,0.01,0.01,0.05,0.02,0.02,0.08,0.03,0.03,0.01,0.04,0.04,0.03,0.05,0.09,0.04,0.25,0.21,0.01,0.1,0.04,0.12,0.43,0.16,0.28,0.08,0.45,0.33,0.53,0.66,1.39,0.69,,1.89,0.6,1.28,6.56,6.59,6.11,,0.22,0.51
20,0.05,0.05,0.02,0.02,0.09,0.05,0.04,0.14,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.05,0.01,0.18,0.15,,0.21,0.44,0.47,0.46,,2.24,0.21,0.46,,,,1.73,,,,,1.67,,,,,0.11,0.51
21,0.03,0.03,0.02,0.01,0.06,0.02,0.01,0.09,0.03,0.01,0.03,0.01,0.01,0.01,0.02,0.02,,0.13,0.41,,0.48,1.26,1.9,0.35,,,0.16,0.26,,,,1.79,,,,,1.13,,,,,0.25,0.69
22,0.03,0.03,0.01,0.01,0.05,0.02,0.01,0.07,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.73,,,,,0.18,,,0.12,0.19,,,,1.59,,,,,1.4,,,,0.91,0.31,0.32
23,0.02,0.02,0.01,0.01,0.03,0.02,0.02,0.05,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.98,,,,,,0.23,,,0.24,0.34,,,,1.89,,0.38,,,1.38,,,,,0.23,0.29
24,0.03,0.03,0.01,0.01,0.05,0.02,0.02,0.08,0.03,0.01,0.02,0.02,0.02,0.01,0.01,0.02,,,,,,,,0.18,3.67,,0.17,0.34,1.18,0.82,0.89,1.49,0.95,,1.48,1.0,1.39,4.52,4.61,4.37,8.17,0.2,0.23
25,0.01,0.01,0.01,,0.03,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,0.63,,0.04,0.28,,0.05,0.13,0.64,0.72,0.39,1.94,0.5,,0.97,0.66,1.44,,,,0.53,0.04,0.21
