,Close
Close,1.0
Cumulative_Returns,0.9999999999999999
Square_Root_Close,0.9995986165228455
Close_Squared,0.9985360503076993
Log_Close,0.9984958752085884
Close_Cubed,0.9945158373688586
Moving_Average_3,0.9931573260947979
Close_Inverse,0.9930326948933675
Moving_Average_5,0.9844071659216829
EMA,0.9749430963376369
Short_EMA,0.9688471646993279
Rolling_Mean,0.964309933469467
Moving_Average_10,0.964309933469467
Lower_Band,0.9613335935027074
Moving_Average_15,0.9449005040765828
Upper_Band,0.9359208969536428
Long_EMA,0.9236624185011529
Price_RoC_60,0.6277923708414911
Signal_Line,0.5705086413734598
Price_RoC_45,0.5440663732878708
MACD,0.5310601867066863
Price_RoC_30,0.44095327425408676
Std_Dev_RoC_5,0.3936886701136823
Std_Dev_RoC_10,0.3464023517630738
Price_RoC_15,0.2942695877216894
RSI,0.2811796994770762
Price_RoC_12,0.2640909801933394
Cos_Close,0.24745429801697166
Price_RoC_10,0.2365487401043396
Rolling_Std,0.2057847815734463
RS,0.1987848205144143
Price_RoC_7,0.1965412154203462
Price_RoC_5,0.1709726039977937
Price_RoC_3,0.13497014690206216
Z_Score,0.11655660757794163
Expanding_Mean,0.1071046821109878
Loss,0.08227750330265819
Price_Delta,0.07489714415905943
Log_Returns,0.07446062235147466
Price_RoC,0.07165791491098328
Sin_Close,0.056027221240036985
Gain,0.04562649387433591
Tan_Close,0.02476853572548959
