,Feature,Importance
16,Expanding_Mean,0.084012225
13,Long_EMA,0.021770896
2,Square_Root_Close,0.010697236
11,Rolling_Mean,0.0083228
8,Close_Inverse,0.0079446575
6,Moving_Average_5,0.0067786677
9,Upper_Band,0.005712571
12,Moving_Average_10,0.004780946
7,EMA,0.0043503447
0,Cumulative_Returns,0.0038442842
1,Close,0.0036746222
14,Moving_Average_15,0.0036165318
15,Lower_Band,0.0030192125
3,Close_Squared,0.0026145703
4,Log_Close,0.0024478033
5,Moving_Average_3,0.0021911426
10,Short_EMA,0.0013906455
