,Feature,Importance
16,Expanding_Mean,0.093400545
15,Long_EMA,0.0113589745
9,Short_EMA,0.011332554
5,Close_Inverse,0.0095235035
7,Moving_Average_5,0.0063001784
6,Moving_Average_3,0.005315249
14,Moving_Average_15,0.004690753
2,Square_Root_Close,0.0039177598
12,Lower_Band,0.0035362362
3,Log_Close,0.0034818598
0,Cumulative_Returns,0.0033094375
1,Close,0.0032950032
8,EMA,0.0031754144
10,Rolling_Mean,0.0027871658
11,Moving_Average_10,0.0018746983
4,Close_Squared,0.0017167516
13,Upper_Band,0.0016410177
