,Feature,Importance
17,Expanding_Mean,0.092275776
15,Long_EMA,0.008898882
2,Square_Root_Close,0.008708627
3,Close_Squared,0.0064030127
6,Close_Inverse,0.006151539
4,Log_Close,0.004527961
12,Moving_Average_10,0.0036367658
14,Moving_Average_15,0.00356493
11,Rolling_Mean,0.0032992456
7,Moving_Average_3,0.0030439026
0,Cumulative_Returns,0.0029658205
5,Close_Cubed,0.0024309768
10,Short_EMA,0.0018649247
13,Lower_Band,0.001835562
8,Moving_Average_5,0.0017633236
16,Upper_Band,0.0017541494
9,EMA,0.0011379892
1,Close,0.00056554284
