,Feature,Importance
17,Expanding_Mean,0.09284939
13,Moving_Average_10,0.010334357
5,Moving_Average_3,0.008470893
15,Long_EMA,0.0066050626
8,Close_Inverse,0.005803666
9,EMA,0.005054532
2,Square_Root_Close,0.0047073364
14,Moving_Average_15,0.0045898156
1,Cumulative_Returns,0.004494677
10,Upper_Band,0.004470612
16,Lower_Band,0.0039984966
7,Close_Cubed,0.0034228626
12,Rolling_Mean,0.003125154
4,Log_Close,0.0025920554
0,Close,0.0018345539
6,Moving_Average_5,0.0012542352
11,Short_EMA,0.0012499591
3,Close_Squared,0.00077364326
