,Feature,Importance
17,Expanding_Mean,0.076571874
13,Long_EMA,0.026401225
10,Short_EMA,0.009919679
8,Moving_Average_5,0.009743145
2,Square_Root_Close,0.009390201
9,EMA,0.008942854
14,Moving_Average_15,0.0077888393
6,Close_Cubed,0.007527601
1,Close,0.0067923316
12,Moving_Average_10,0.0067556486
5,Close_Inverse,0.0065733986
4,Close_Squared,0.0057807807
16,Lower_Band,0.0052055563
11,Rolling_Mean,0.00452791
15,Upper_Band,0.003438047
0,Cumulative_Returns,0.0031807828
7,Moving_Average_3,0.0021427074
3,Log_Close,0.0017220711
