,Feature,Importance
16,Expanding_Mean,0.09402687
0,Cumulative_Returns,0.0072929924
10,Moving_Average_10,0.0068851276
8,EMA,0.0062140813
15,Long_EMA,0.0054460904
12,Upper_Band,0.0045674713
3,Log_Close,0.003761749
5,Close_Inverse,0.0037031728
1,Close,0.0035998554
14,Moving_Average_15,0.0034885495
4,Close_Squared,0.0030713347
7,Moving_Average_5,0.0024189614
13,Lower_Band,0.0022608642
11,Rolling_Mean,0.0020882888
6,Moving_Average_3,0.0018244904
2,Square_Root_Close,0.00092494173
9,Short_EMA,0.00082872045
