,Feature,Importance
17,Expanding_Mean,0.106538996
16,Long_EMA,0.004488477
6,Close_Inverse,0.004344335
5,Close_Cubed,0.003840346
13,Upper_Band,0.003808023
0,Close,0.0037544123
2,Square_Root_Close,0.0037274063
8,Moving_Average_5,0.003039811
10,Short_EMA,0.0029436485
12,Moving_Average_10,0.002773923
9,EMA,0.0025428121
4,Close_Squared,0.002466923
3,Log_Close,0.0023980197
15,Lower_Band,0.002323038
1,Cumulative_Returns,0.002126451
14,Moving_Average_15,0.0020066944
11,Rolling_Mean,0.0015189281
7,Moving_Average_3,0.0013737326
