,Feature,Importance
17,Expanding_Mean,0.14500074
0,Cumulative_Returns,0.006419219
1,Close,0.0055334014
5,Close_Cubed,0.005109951
6,Close_Inverse,0.0048219026
7,Moving_Average_3,0.0045856377
16,Long_EMA,0.004419931
14,Moving_Average_15,0.004197201
4,Log_Close,0.0036722526
2,Square_Root_Close,0.0031932746
11,Rolling_Mean,0.0031378134
10,Short_EMA,0.0031104877
3,Close_Squared,0.0028719683
13,Upper_Band,0.0027855304
12,Moving_Average_10,0.0024569265
15,Lower_Band,0.002269568
9,EMA,0.0013072926
8,Moving_Average_5,0.0011848854
