,Close
Cumulative_Returns,1.0000000000000002
Close,1.0
Square_Root_Close,0.9974970085263369
Moving_Average_3,0.996228310520536
Moving_Average_5,0.9919788712213045
Close_Squared,0.9916289710593685
Log_Close,0.9897311021675333
EMA,0.9866335231826191
Short_EMA,0.9834670909088435
Rolling_Mean,0.9813090888646553
Moving_Average_10,0.9813090888646553
Lower_Band,0.9732476330769458
Upper_Band,0.9717241594926224
Close_Cubed,0.9712303816457055
Moving_Average_15,0.9697370851593883
Long_EMA,0.964346343828421
Close_Inverse,0.9567055442915121
Expanding_Mean,0.9170008542883523
Signal_Line,0.6570128958171585
Price_RoC_60,0.6087331204097037
MACD,0.5693452196662369
Price_RoC_45,0.4848646454927097
RSI,0.4039619825596121
Price_RoC_30,0.37342350618834425
Rolling_Std,0.31333416049849244
Std_Dev_RoC_10,0.30377042008927524
RS,0.2745599441823605
Z_Score,0.26228099571741526
Price_RoC_15,0.2322703941053571
Price_RoC_12,0.19259322697341905
Gain,0.16874582343907119
Price_RoC_10,0.1621436274162338
Std_Dev_RoC_5,0.13331542617279324
Cos_Close,0.1314750832483082
Price_RoC_7,0.12525016574115622
Price_RoC_5,0.10640836303072279
Price_RoC_3,0.08690960549125412
Price_Delta,0.060182357545766375
Log_Returns,0.05473622332308014
Price_RoC,0.050771922675726916
Loss,0.04548211535070795
Tan_Close,0.023625175633168762
Sin_Close,0.0017947988869024163
