,Feature,Importance
17,Expanding_Mean,0.059769385
16,Long_EMA,0.028330326
10,Short_EMA,0.009626006
5,Close_Cubed,0.0077559077
0,Close,0.007203339
7,Moving_Average_3,0.0061562485
3,Log_Close,0.0057595307
2,Square_Root_Close,0.005649639
6,Close_Inverse,0.0055414466
13,Moving_Average_10,0.0048617227
9,EMA,0.003898161
15,Upper_Band,0.0038681596
4,Close_Squared,0.0036593687
12,Rolling_Mean,0.0030142372
1,Cumulative_Returns,0.0029948473
8,Moving_Average_5,0.0027878957
11,Lower_Band,0.0023140437
14,Moving_Average_15,0.0021673671
