,Close,Cumulative_Returns,Square_Root_Close,Moving_Average_3,Log_Close,Close_Squared,Moving_Average_5,EMA,Short_EMA,Close_Inverse,Upper_Band,Rolling_Mean,Moving_Average_10,Close_Cubed,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean,MACD,Price_RoC_60,Signal_Line,Price_RoC_45,Price_RoC_30,Rolling_Std,Price_RoC_12,Price_RoC_15,Price_RoC_10,RSI,Price_RoC_7,Std_Dev_RoC_5,Price_RoC_5,Std_Dev_RoC_10,Gain,Price_RoC_3,RS,Z_Score,Price_Delta,Price_RoC,Log_Returns,Sin_Close,Loss,Cos_Close,Tan_Close
0,0.06,0.06,0.03,0.07,0.02,0.13,0.07,0.06,0.06,0.05,0.09,0.07,0.07,0.21,0.06,0.04,0.08,0.01,,,,,,0.35,,,,0.33,,0.41,,0.28,1.56,,0.48,,,,,,2.37,2.35,3.28
1,0.02,0.02,0.01,0.01,0.01,0.04,0.01,,0.01,0.02,0.01,0.01,0.01,0.07,0.01,0.01,0.01,,,,,,,0.15,16.59,,1.29,0.34,1.69,0.27,1.85,0.44,1.28,2.24,0.67,1.28,3.81,3.74,3.85,,1.51,0.43,
2,0.01,0.01,0.01,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.01,,0.03,,,,,,,0.27,0.36,0.3,0.4,0.08,0.53,0.51,0.69,0.15,1.09,1.33,0.26,0.29,5.12,4.98,5.12,0.39,1.78,0.24,0.6
3,0.06,0.06,0.03,0.06,0.02,0.12,0.06,0.04,0.03,0.06,0.02,0.03,0.03,0.18,0.02,0.02,0.08,,,,,,,0.5,,,,0.53,,0.37,,0.34,1.9,,1.14,,,,,,1.27,,2.6
4,0.02,0.02,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.06,0.02,0.01,0.01,,,,,,,0.56,,,,0.54,9.7,0.6,2.35,0.32,1.09,3.67,1.02,3.84,4.2,4.16,4.28,,1.86,,
5,0.07,0.07,0.03,0.05,0.02,0.15,0.04,0.03,0.03,0.07,0.06,0.03,0.03,0.23,0.02,0.01,0.02,,3.82,,,1.34,,0.48,0.64,0.64,0.57,0.1,0.57,0.8,0.8,0.19,1.08,1.14,0.46,0.36,1.44,1.41,1.43,,2.22,1.39,
6,0.06,0.06,0.03,0.07,0.02,0.12,0.08,0.08,0.08,0.07,0.08,0.1,0.1,0.17,0.09,0.06,0.18,0.01,0.28,0.23,0.48,0.18,0.3,0.33,0.16,0.16,0.21,0.03,0.57,0.29,0.79,0.31,1.82,1.0,0.23,0.37,2.32,2.48,2.45,,2.22,,
7,0.02,0.02,0.01,0.02,0.01,0.04,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.06,0.03,0.03,0.03,0.01,0.17,0.1,0.05,0.16,0.11,0.27,1.21,0.93,1.34,0.19,5.58,0.36,,0.25,1.24,,0.82,,,,,,1.38,2.92,
8,0.02,0.02,0.01,0.02,,0.03,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.05,,0.02,0.01,0.01,0.08,0.05,0.11,0.06,0.2,0.16,1.48,0.88,1.2,0.13,0.49,0.7,0.29,0.2,1.16,1.01,0.31,0.38,2.99,2.89,2.94,,1.77,0.15,
9,0.01,0.01,0.01,0.01,,0.03,,,,0.01,,,,0.04,0.01,0.01,0.01,0.01,0.19,0.06,0.13,0.1,0.48,0.1,1.05,0.55,1.44,0.17,9.18,0.3,18.99,0.15,1.55,76.99,0.47,19.73,,,,1.46,1.25,0.22,1.42
10,0.02,0.02,0.01,0.01,,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.05,0.01,,0.01,,0.52,0.09,0.3,0.8,1.29,0.14,,,,0.11,,0.2,,0.11,1.78,,0.2,,,,,,1.2,0.63,
11,0.02,0.02,0.01,0.01,0.01,0.04,0.01,,,0.02,0.01,,,0.06,0.01,,0.01,,,0.4,0.74,3.5,,0.2,,,,0.16,,0.43,,0.16,0.91,,0.29,52.81,,110.05,,,2.68,1.21,7.61
12,0.04,0.04,0.02,0.04,0.01,0.07,0.04,0.02,0.02,0.04,0.03,0.02,0.02,0.11,0.01,0.01,0.02,,1.33,0.56,1.71,0.62,4.02,0.32,0.84,0.84,0.93,0.11,1.19,0.51,1.67,0.27,1.64,1.67,0.27,1.28,4.03,3.77,3.88,3.03,1.66,2.43,5.76
13,0.03,0.03,0.02,0.04,0.01,0.07,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.1,0.01,0.01,0.03,,,,5.35,,,0.1,,,,0.54,,0.79,,0.3,3.09,,0.66,,,,,,0.84,,30.99
14,0.02,0.02,0.01,0.02,0.01,0.04,0.01,0.01,,0.02,0.01,0.01,0.01,0.06,0.01,0.01,0.01,,,,,,,0.13,,,8.96,0.33,1.53,0.3,1.36,0.09,1.15,1.82,0.6,1.38,5.23,4.98,5.22,,1.99,,2.57
15,0.03,0.03,0.02,0.03,0.01,0.06,0.03,0.02,0.02,0.03,0.01,0.02,0.02,0.09,0.01,0.01,0.03,,,,,,,0.2,,,,0.22,,0.43,,0.12,1.43,,0.43,,,,,1.99,1.0,,7.69
16,0.03,0.03,0.01,0.03,0.01,0.06,0.03,0.01,0.01,0.03,0.02,0.01,0.01,0.08,0.01,,0.01,,,,,,,0.25,4.86,,2.01,0.32,0.83,0.42,0.75,0.27,1.06,0.59,0.72,0.63,1.06,1.07,1.06,,,,3.39
