,Feature,Importance
17,Expanding_Mean,0.08537272
0,Close,0.011790698
5,Close_Cubed,0.0059107216
8,Moving_Average_5,0.005813322
1,Cumulative_Returns,0.0051373877
16,Long_EMA,0.004665231
12,Moving_Average_10,0.003831835
6,Close_Inverse,0.0034702872
14,Lower_Band,0.0032958635
4,Close_Squared,0.0032844364
9,EMA,0.0031861588
10,Short_EMA,0.002399879
7,Moving_Average_3,0.0022784937
11,Rolling_Mean,0.002257435
13,Upper_Band,0.0021215393
15,Moving_Average_15,0.0018793754
2,Square_Root_Close,0.001825297
3,Log_Close,0.0017648156
