,Cumulative_Returns,Close,Moving_Average_3,Moving_Average_5,Upper_Band,Square_Root_Close,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Close_Squared,Long_EMA,Log_Close,Lower_Band,Close_Cubed,Close_Inverse,Expanding_Mean,Rolling_Std,MACD,Signal_Line,Price_RoC_30,Price_RoC_15,Gain,Price_RoC_12,RSI,Price_RoC_10,RS,Price_RoC_7,Price_RoC_45,Price_RoC_5,Loss,Z_Score,Price_RoC_3,Price_Delta,Std_Dev_RoC_5,Price_RoC_60,Std_Dev_RoC_10,Sin_Close,Price_RoC,Log_Returns,Cos_Close,Tan_Close
0,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.07,0.02,0.01,0.05,0.1,0.03,0.01,0.46,0.1,0.07,0.32,0.61,1.26,0.73,0.09,1.16,0.22,1.31,0.1,2.13,1.36,1.56,2.99,3.56,0.27,0.19,0.11,2.81,3.49,3.63,,
1,0.02,0.02,0.02,0.03,0.03,0.01,0.03,0.03,0.04,0.04,0.03,0.05,0.03,,0.07,0.07,0.02,0.01,0.34,0.08,0.09,0.13,0.24,0.87,0.18,0.1,0.3,0.53,0.56,0.17,0.77,1.94,0.35,0.98,1.69,0.51,0.17,0.27,4.44,1.67,1.68,3.34,67.69
2,0.02,0.02,0.01,0.01,,0.01,,,,,0.01,0.04,0.01,,0.01,0.06,0.02,0.01,0.09,0.19,0.08,0.38,1.05,1.44,1.15,0.22,1.95,0.79,,0.27,,1.19,,,,0.35,0.22,0.17,,,,6.57,15.43
3,0.02,0.02,0.01,0.01,,0.01,,,,,,0.04,0.01,,,0.05,0.02,0.01,0.06,0.22,0.17,0.24,9.53,1.04,,0.14,12.22,0.29,3.96,0.23,9.75,1.99,3.41,3.72,5.49,0.31,0.23,0.22,3.31,5.24,5.52,1.54,
4,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.03,0.01,,0.03,0.05,0.02,0.01,0.19,0.07,0.03,0.39,0.31,1.36,0.52,0.06,0.77,0.16,0.6,0.1,1.02,1.13,0.81,2.5,6.04,0.45,0.13,0.05,11.44,5.71,6.03,5.08,4.23
5,0.12,0.12,0.1,0.07,0.12,0.06,0.06,0.05,0.05,0.05,0.04,0.26,0.04,0.02,0.04,0.4,0.11,0.01,0.71,0.49,0.31,0.73,0.67,1.83,0.83,0.12,0.85,0.6,0.82,0.39,0.84,1.63,0.47,1.18,2.09,0.6,0.34,0.65,,2.15,2.11,,4.12
6,0.04,0.04,0.02,0.02,0.04,0.02,0.03,0.04,0.05,0.05,0.06,0.08,0.04,0.01,0.15,0.12,0.04,0.02,0.6,0.05,0.14,0.09,0.18,1.2,0.38,0.05,0.63,0.21,1.27,0.14,1.79,1.73,1.11,2.98,5.1,0.67,0.07,0.21,3.91,4.94,5.37,,
7,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.05,0.02,,0.05,0.07,0.03,0.01,0.32,0.14,0.05,0.11,0.88,2.07,0.31,0.06,0.84,0.18,1.91,0.08,4.05,1.13,7.0,24.41,,0.39,0.11,0.36,,,,,2.72
8,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,,0.07,0.02,0.01,0.01,0.1,0.03,0.01,0.31,0.1,0.12,0.42,1.13,1.36,2.82,0.16,2.29,0.34,1.19,0.07,0.99,1.57,0.86,1.17,1.93,0.35,0.09,0.28,2.33,1.89,1.9,,
9,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.04,0.01,,0.04,0.07,0.02,0.01,0.3,0.13,0.05,0.23,0.32,1.01,0.41,0.11,0.61,0.41,1.87,0.15,2.92,1.68,1.84,5.95,7.43,0.48,0.07,0.27,,6.95,7.46,,
10,0.04,0.04,0.03,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.08,,0.01,0.03,0.12,0.04,0.01,0.29,0.57,0.25,0.76,,2.05,,0.26,,0.59,,0.76,,1.3,,,,0.56,0.16,0.14,3.85,,,5.78,
11,0.04,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.07,0.01,0.01,0.01,0.11,0.04,0.01,0.16,1.33,0.37,0.79,,1.59,7.74,0.18,2.75,0.34,1.5,0.42,1.16,1.73,1.19,1.22,2.89,0.31,0.4,0.26,,2.77,2.84,2.92,1.81
12,0.04,0.04,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.07,0.01,0.01,0.03,0.11,0.04,0.01,0.19,0.31,0.18,1.58,0.77,2.4,1.29,0.18,1.62,0.46,8.32,0.43,,1.1,,,,0.43,0.48,0.21,21.15,,,,3.16
13,0.04,0.04,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.07,0.01,0.01,0.03,0.11,0.03,0.01,0.13,,7.39,,,1.26,,0.5,,0.65,,,,1.41,,,,0.3,1.14,0.49,2.98,,,,
14,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.06,0.01,,0.02,0.09,0.03,0.01,0.09,,,,4.23,0.75,1.63,0.27,1.08,0.74,0.53,,0.32,2.48,0.34,0.64,1.8,0.58,1.67,0.28,5.44,1.77,1.8,4.5,
15,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.09,0.01,0.01,0.04,0.13,0.04,,0.25,,,,,1.81,,0.26,,0.58,,,,1.02,,,,0.29,,0.26,1.93,,,,
16,0.06,0.06,0.06,0.05,0.05,0.03,0.03,0.02,0.02,0.02,0.01,0.11,0.01,0.01,0.01,0.17,0.06,,0.35,,,1.34,21.7,0.67,3.76,0.32,1.78,0.62,1.07,,1.15,3.16,1.01,0.74,0.8,0.63,2.86,0.34,,0.82,0.82,7.21,3.13
17,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.03,0.02,,0.06,0.05,0.02,0.01,0.36,0.16,0.44,0.44,0.28,1.38,0.44,0.12,0.55,0.53,0.89,0.29,1.21,1.19,1.52,2.95,,0.27,0.87,0.2,17.2,,,,3.15
18,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.04,,,0.02,0.06,0.02,,0.19,0.62,0.28,0.44,,1.22,,0.25,,0.49,,0.51,,1.42,,,,0.36,2.97,0.27,3.76,,,,
19,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,0.04,0.01,,0.01,0.06,0.02,,0.19,0.41,0.13,0.46,10.94,1.07,1.33,0.18,1.13,0.34,0.67,0.64,0.79,1.7,0.77,1.69,6.6,0.29,0.33,0.25,,6.2,6.56,4.67,3.64
