,Feature,Importance
17,Expanding_Mean,0.076801896
13,Long_EMA,0.02990511
15,Moving_Average_15,0.009893444
10,Short_EMA,0.009536262
2,Square_Root_Close,0.009350031
6,Close_Inverse,0.009096998
0,Close,0.00788978
16,Lower_Band,0.0068990514
8,Moving_Average_5,0.0057679163
9,EMA,0.0050168848
12,Moving_Average_10,0.0047653494
3,Log_Close,0.0047551706
4,Close_Squared,0.0045670937
14,Upper_Band,0.0035362006
11,Rolling_Mean,0.0028737877
7,Moving_Average_3,0.001995186
5,Close_Cubed,0.0017395278
1,Cumulative_Returns,0.000911548
