,Feature,Importance
16,Expanding_Mean,0.070732296
15,Long_EMA,0.010875336
9,Short_EMA,0.0062246867
0,Close,0.005303553
13,Moving_Average_15,0.003934968
2,Square_Root_Close,0.0035144952
8,EMA,0.0034610773
4,Log_Close,0.0032419513
11,Moving_Average_10,0.0028019804
7,Moving_Average_5,0.0027604818
12,Lower_Band,0.0027465862
14,Upper_Band,0.0023775243
5,Close_Inverse,0.002281959
1,Cumulative_Returns,0.002021074
6,Moving_Average_3,0.0019663728
10,Rolling_Mean,0.0012382844
3,Close_Squared,0.0011699491
