,Cumulative_Returns,Close,Square_Root_Close,Close_Squared,Log_Close,Close_Cubed,Moving_Average_3,Close_Inverse,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Upper_Band,Lower_Band,Long_EMA,Price_RoC_60,Signal_Line,Expanding_Mean,Price_RoC_45,MACD,Price_RoC_30,Price_RoC_15,RSI,Price_RoC_12,RS,Price_RoC_10,Price_RoC_7,Price_RoC_5,Z_Score,Sin_Close,Price_RoC_3,Std_Dev_RoC_10,Cos_Close,Price_Delta,Gain,Std_Dev_RoC_5,Log_Returns,Price_RoC,Loss,Tan_Close,Rolling_Std
10,0.02,0.02,0.01,0.05,0.01,0.07,0.02,0.02,0.01,,,,,0.01,,0.01,0.01,0.22,0.07,,0.59,0.22,0.34,0.96,0.13,1.27,0.32,2.13,15.6,,,,,0.15,,,1.69,0.34,,,1.55,9.76,0.07
11,0.03,0.03,0.01,0.05,0.01,0.08,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.03,0.03,0.01,2.68,3.66,,,,,,0.33,,0.51,,,,,0.43,,0.31,1.48,,1.58,0.4,,,1.24,2.87,0.21
12,0.03,0.03,0.01,0.06,0.01,0.09,0.03,0.03,0.03,0.02,0.01,0.02,0.02,,0.03,0.02,,,,,0.47,,,,0.27,2.09,0.48,0.92,0.85,1.15,0.86,0.6,1.78,0.3,,2.3,0.94,0.25,2.25,2.21,1.65,,0.28
13,0.04,0.04,0.02,0.07,0.01,0.11,0.03,0.04,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,1.29,1.61,,,3.06,,2.89,0.28,8.05,0.56,,,,,0.64,,0.29,,,2.14,0.29,,,0.9,3.48,0.31
14,0.03,0.03,0.01,0.05,0.01,0.08,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0.01,,,,,,,,0.32,,0.41,,,,,,,0.19,0.23,,1.29,0.41,,,1.44,,0.13
15,0.04,0.04,0.02,0.08,0.01,0.12,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.04,0.02,,,,,,,,0.09,,0.14,,,,,,,0.15,11.51,,1.46,0.42,,,1.37,3.29,0.38
16,0.05,0.05,0.02,0.09,0.01,0.13,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.01,0.05,0.03,0.01,,,,,,,1.91,0.19,1.02,0.37,1.15,0.76,1.03,0.87,4.38,1.72,0.37,0.84,3.19,1.51,0.22,3.03,2.96,1.38,6.77,0.29
17,0.02,0.02,0.01,0.05,0.01,0.07,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.03,0.01,0.02,0.01,1.11,0.75,,,0.33,0.44,0.36,0.13,0.73,0.35,0.69,0.97,1.68,0.82,0.34,2.38,0.25,,3.57,1.56,0.27,3.53,3.44,1.87,,0.07
18,0.05,0.05,0.02,0.09,0.01,0.13,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03,0.06,0.02,0.02,1.0,0.28,,0.49,0.28,0.39,0.66,0.13,0.39,0.43,0.32,0.8,1.21,0.81,,1.91,0.17,,2.93,1.2,0.34,2.87,2.77,2.03,3.06,0.44
19,0.06,0.06,0.03,0.11,0.02,0.16,0.06,0.06,0.06,0.05,0.04,0.04,0.04,0.04,0.07,0.03,0.03,0.45,0.2,,0.26,0.22,0.16,0.4,0.09,0.35,0.42,0.23,0.68,1.24,0.75,4.85,1.51,0.09,,2.7,1.61,0.39,2.66,2.61,1.99,2.43,0.36
20,0.01,0.01,0.01,0.02,,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.02,0.09,0.04,,0.14,0.12,0.15,0.64,0.19,1.06,0.51,1.39,2.94,4.28,3.11,8.98,3.26,0.35,,,1.38,0.71,,,1.19,,0.63
21,0.05,0.05,0.03,0.1,0.01,0.15,0.04,0.05,0.02,0.01,0.01,0.01,0.01,,0.02,0.03,0.01,0.28,0.24,,0.17,0.3,0.45,,0.25,,0.44,,,5.43,,7.43,3.98,0.22,14.91,5.05,2.44,0.73,5.27,5.06,1.1,,0.41
22,0.02,0.02,0.01,0.04,,0.05,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.07,0.01,0.2,0.08,,0.27,0.15,0.71,0.2,0.07,0.67,0.19,1.04,2.1,4.38,,,,0.17,1.51,4469.93,1.24,0.44,4420.35,156.98,1.39,,0.57
23,0.01,0.01,0.01,0.03,,0.04,,0.01,,,,,,,0.01,,,0.11,0.17,,0.5,0.19,0.34,,0.09,,0.19,,16.4,4.86,16.43,,8.0,0.67,4.07,418.71,1.19,0.28,418.05,77.95,1.66,3.38,0.09
24,0.01,0.01,0.01,0.03,,0.04,0.01,0.01,0.01,,,,,,0.01,,,0.13,0.1,,0.31,0.11,0.88,1.09,0.08,1.58,0.18,1.43,1.33,2.45,1.84,,4.63,0.17,0.86,4.4,1.16,0.21,4.41,4.3,1.14,10.59,0.13
25,0.01,0.01,0.01,0.02,,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,,,0.48,0.07,,0.09,0.14,0.58,0.18,0.09,0.35,0.25,0.45,0.45,0.54,0.44,2.34,0.65,0.11,0.1,15.06,1.27,0.39,14.9,13.64,2.0,2.14,0.17
