,Close
Close,1.0
Cumulative_Returns,0.9999999999999998
Square_Root_Close,0.9994051961367869
Log_Close,0.997670305069581
Close_Squared,0.9976035003019599
Moving_Average_3,0.9944354990576664
Close_Inverse,0.990692474206578
Close_Cubed,0.9904528795071662
Moving_Average_5,0.9875138545918223
EMA,0.9813180025324434
Short_EMA,0.9773589339125169
Rolling_Mean,0.9713749879249202
Moving_Average_10,0.9713749879249202
Upper_Band,0.9654704869649279
Moving_Average_15,0.9560906057212537
Long_EMA,0.9536931885367523
Lower_Band,0.9489291604631489
Price_RoC_60,0.8530800178021878
MACD,0.8027842229619901
Signal_Line,0.799039315060834
Price_RoC_45,0.7606316263913663
Expanding_Mean,0.6743984609598329
Price_RoC_30,0.6614963233527629
Price_RoC_15,0.5337150823670515
RSI,0.5292068470693331
Price_RoC_12,0.5007646849115962
Price_RoC_10,0.4654930015459338
Rolling_Std,0.4037164720274523
Price_RoC_7,0.39000541897799507
Z_Score,0.38916137158425623
Price_RoC_5,0.32204214655682606
RS,0.24691531722049398
Price_RoC_3,0.2349776609205927
Gain,0.23043726028105627
Std_Dev_RoC_10,0.15940789468163186
Price_Delta,0.1433458243365602
Price_RoC,0.13014733266880293
Log_Returns,0.130055427722743
Cos_Close,0.06263609846211551
Sin_Close,0.060745427667884856
Std_Dev_RoC_5,0.05160691110684538
Tan_Close,0.040984531180623535
Loss,0.008554425851969808
