,Feature,Importance
17,Expanding_Mean,0.08474959
6,Close_Inverse,0.015710454
1,Close,0.009589134
16,Long_EMA,0.0092611555
8,Moving_Average_5,0.0067746504
4,Close_Squared,0.0065629445
3,Log_Close,0.0056609614
5,Close_Cubed,0.0047279843
11,Rolling_Mean,0.0040539666
14,Lower_Band,0.0036298377
10,Short_EMA,0.0032952211
15,Moving_Average_15,0.0029592027
7,Moving_Average_3,0.0029531259
9,EMA,0.002755132
2,Square_Root_Close,0.002441438
13,Upper_Band,0.00217949
0,Cumulative_Returns,0.002171561
12,Moving_Average_10,0.0015899846
