,Close,Cumulative_Returns,Moving_Average_3,Moving_Average_5,EMA,Upper_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Moving_Average_15,Square_Root_Close,Long_EMA,Close_Squared,Lower_Band,Rolling_Std,MACD,Log_Close,Signal_Line,Close_Cubed,Expanding_Mean,Price_RoC_45,Price_RoC_60,Close_Inverse,Price_RoC_30,Std_Dev_RoC_10,Gain,Price_RoC_15,Price_RoC_12,Price_RoC_10,Std_Dev_RoC_5,Price_RoC_7,RS,Price_RoC_5,RSI,Loss,Price_RoC_3,Price_Delta,Z_Score,Price_RoC,Cos_Close,Log_Returns,Tan_Close,Sin_Close
15,0.08,0.08,0.07,0.07,0.04,0.02,0.03,0.04,0.04,0.01,0.04,0.01,0.16,0.08,0.3,2.46,0.01,0.6,0.24,0.01,3.19,,0.08,,0.17,1.27,407.32,,,0.48,,0.56,,0.27,1.05,,,,,,,,2.61
16,0.04,0.04,0.03,0.03,0.01,0.04,0.01,0.01,0.01,0.03,0.02,0.01,0.08,0.02,0.38,,0.01,,0.12,0.01,,,0.04,3.46,0.32,1.14,,,,0.46,4.54,0.57,2.92,0.32,1.75,1.65,2.44,1.95,2.44,,2.49,1.63,1.54
17,0.05,0.05,0.04,0.04,0.03,0.05,0.03,0.04,0.04,0.03,0.02,0.02,0.09,0.03,0.19,0.97,0.01,,0.13,0.01,0.83,0.53,0.05,,0.26,1.98,0.49,0.34,0.37,0.31,0.59,0.32,1.08,0.13,1.19,2.01,7.38,0.8,6.39,,7.3,,
18,0.05,0.05,0.04,0.04,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.09,0.05,0.28,1.16,0.01,0.35,0.14,0.01,4.12,,0.05,3.67,0.24,1.98,4.6,,,0.51,,0.5,,0.27,1.21,,,,,,,,
19,0.07,0.07,0.07,0.07,0.04,0.07,0.04,0.04,0.04,0.01,0.04,0.02,0.14,0.03,0.39,1.27,0.01,1.09,0.2,0.01,14.0,0.57,0.07,0.36,0.42,1.38,3.46,1.65,1.44,0.26,0.9,0.42,1.04,0.25,1.38,1.86,7.71,1.11,6.45,41.52,7.34,18.48,4.56
20,0.07,0.07,0.04,0.02,0.02,0.03,0.01,0.01,0.01,0.02,0.03,0.01,0.14,0.03,0.33,0.37,0.01,0.12,0.21,0.01,0.41,2.23,0.06,1.77,0.19,1.48,0.34,1.91,4.89,0.67,,0.19,,0.08,1.7,3.68,2.17,,2.18,92.6,2.21,2.96,
21,0.17,0.17,0.13,0.09,0.08,0.13,0.08,0.08,0.08,0.05,0.08,0.05,0.33,0.04,0.41,0.5,0.03,0.4,0.5,0.01,0.45,0.75,0.16,0.7,0.17,2.16,0.92,0.76,0.6,0.44,0.58,0.6,1.03,0.15,1.39,1.53,2.89,0.83,3.16,,3.21,,
22,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.08,0.11,0.3,0.18,0.18,0.27,0.02,0.31,0.45,0.02,0.36,0.21,0.15,0.26,0.04,1.21,0.3,0.35,0.29,0.53,0.34,1.12,0.52,0.06,2.5,0.55,1.26,0.28,1.24,,1.21,,
23,0.11,0.11,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.11,0.06,0.1,0.23,0.12,0.11,0.1,0.02,0.14,0.36,0.03,0.18,0.17,0.1,0.2,0.27,1.42,0.27,0.41,0.49,0.49,0.6,1.14,1.32,0.2,1.77,2.09,7.66,0.92,4.85,1.05,6.81,,
24,0.14,0.14,0.12,0.11,0.08,0.09,0.08,0.06,0.06,0.06,0.07,0.08,0.27,0.02,0.24,0.12,0.02,0.04,0.4,0.03,0.24,0.23,0.14,0.1,0.14,1.39,0.36,0.63,1.01,0.3,1.1,0.18,0.89,0.06,1.67,1.45,2.06,1.0,2.11,,2.12,,
25,0.04,0.04,0.01,0.01,0.02,0.01,0.02,0.04,0.04,0.03,0.02,0.03,0.08,0.11,0.22,0.02,0.01,0.02,0.12,0.01,0.11,0.07,0.04,0.07,0.07,1.45,0.49,0.42,0.28,0.16,0.7,0.18,1.69,0.05,1.15,3.11,,0.48,,0.13,,,
