,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Squared,Close_Inverse,Close_Cubed,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Lower_Band,Moving_Average_15,Long_EMA,MACD,Price_RoC_45,Upper_Band,Price_RoC_60,Signal_Line,Price_RoC_30,Price_RoC_15,RSI,Price_RoC_12,RS,Price_RoC_10,Price_RoC_7,Z_Score,Price_RoC_5,Price_RoC_3,Expanding_Mean,Gain,Price_Delta,Price_RoC,Log_Returns,Sin_Close,Rolling_Std,Loss,Cos_Close,Tan_Close,Std_Dev_RoC_10,Std_Dev_RoC_5
0,0.02,0.02,0.01,,0.05,0.02,0.07,0.01,0.01,0.01,,,,0.01,,,0.35,0.47,0.01,,0.11,0.5,3.8,0.17,6.61,0.36,,,,,,,1.06,,,,,0.35,1.98,5.11,,0.27,0.56
1,0.05,0.05,0.02,0.01,0.09,0.04,0.14,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,1.42,0.03,1.93,,,,0.21,,0.42,,,7.72,5.78,3.2,,1.21,2.57,2.58,2.65,,0.24,1.85,,3.32,0.33,0.35
2,0.03,0.03,0.01,0.01,0.06,0.03,0.09,0.03,0.03,0.03,0.03,0.04,0.04,0.06,0.03,0.02,0.34,0.21,0.02,0.25,0.65,0.39,0.4,0.11,0.2,0.4,0.19,0.38,0.3,0.53,1.03,,1.37,2.73,2.71,2.75,,0.19,0.98,55.21,,0.4,0.33
3,0.11,0.11,0.06,0.02,0.2,0.13,0.27,0.06,0.04,0.03,0.02,0.02,0.02,0.08,0.01,0.01,0.82,3.06,0.03,1.08,0.2,2.93,10.35,0.33,,0.58,,,,,,,2.5,,,,8.4,0.75,2.35,6.57,3.83,0.32,0.79
4,0.03,0.03,0.01,0.01,0.05,0.03,0.08,0.02,0.05,0.06,0.06,0.09,0.09,0.08,0.07,0.04,,,0.17,,,,,0.2,,0.24,,,,,,0.01,1.89,,,,16.07,0.63,1.77,,,0.35,0.71
5,0.01,0.01,0.01,,0.03,0.02,0.04,0.01,0.01,0.01,0.01,,,0.01,0.01,0.02,,,0.01,,,,,0.24,,0.37,,,,,,,1.35,,,,,0.41,1.53,2.17,15.58,0.58,0.21
6,,,,,0.01,,0.01,,,,,,,0.01,,0.01,,,0.02,,,,,0.11,,0.18,,,,,4.0,,1.51,10.61,10.23,10.55,0.34,0.57,1.25,,,0.39,0.41
7,0.01,0.01,0.01,,0.02,0.01,0.03,0.01,0.01,,,,,0.01,,0.01,,,,,,,23.78,0.14,14.16,0.31,,,,,,,1.53,28.2,25.21,28.27,5.26,0.24,1.04,,4.22,0.28,0.2
8,0.03,0.03,0.02,0.01,0.06,0.03,0.09,0.03,0.02,0.02,0.02,0.02,0.02,,0.01,0.01,,,0.03,,,1.47,0.74,0.14,0.94,0.43,0.87,0.54,0.32,0.51,0.82,,1.06,2.04,1.98,2.0,,0.47,1.74,,2.97,0.65,0.44
9,0.01,0.01,0.01,,0.02,0.01,0.04,0.01,0.01,,,0.01,0.01,0.02,0.01,,0.24,0.44,0.01,,0.3,0.26,0.43,0.13,1.1,0.41,2.29,,,,,,1.54,,,,17.59,0.35,1.57,,2.18,0.24,0.48
10,0.03,0.03,0.02,0.01,0.06,0.03,0.1,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.01,0.02,0.31,0.29,0.04,0.39,0.34,0.28,0.4,0.13,0.52,0.38,0.47,0.86,0.86,1.53,2.19,,1.96,4.87,4.48,4.69,3.34,0.37,2.01,11.42,,0.23,0.27
11,0.01,0.01,,,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.07,0.08,0.01,0.15,0.03,0.25,0.81,0.16,1.07,0.36,1.32,1.31,0.76,0.94,1.9,,0.69,3.96,3.86,3.95,,0.45,2.29,,112.44,0.24,0.79
12,0.01,0.01,0.01,,0.03,0.01,0.04,0.01,,,,,,0.01,,,0.21,0.14,,0.07,0.14,0.13,1.23,0.14,1.72,0.28,3.76,17.55,9.57,22.86,4.96,,1.46,13.23,12.62,13.51,12.78,0.28,1.44,1.5,,0.21,0.62
13,0.01,0.01,0.01,,0.02,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.08,0.17,0.01,0.12,0.04,0.6,0.43,0.07,0.44,0.18,0.77,0.72,1.05,1.61,2.67,,0.91,8.16,7.58,8.07,,0.16,1.88,,2.77,0.2,0.2
14,0.01,0.01,,,0.02,0.01,0.03,0.01,,,,,,0.01,,,0.16,0.56,,0.24,0.09,0.31,0.96,0.11,1.07,0.24,2.16,2.92,3.02,2.52,5.35,,1.44,,,,13.46,0.2,1.51,10.05,,0.17,0.32
15,0.05,0.05,0.02,0.01,0.1,0.05,0.15,0.05,0.05,0.03,0.03,0.03,0.03,0.07,0.02,0.02,,,0.02,2.0,14.07,,,0.48,,0.72,,,,,,,2.71,,,,,0.55,1.09,,3.24,0.37,0.31
16,0.03,0.03,0.01,0.01,0.06,0.03,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,,,0.03,,,,,0.39,,0.51,,,,,,,1.56,,,,12.65,0.38,1.19,,,0.27,0.42
17,0.03,0.03,0.02,0.01,0.07,0.04,0.1,0.04,0.04,0.02,0.02,0.02,0.02,0.01,0.01,,,,0.03,,,,2.07,0.16,1.72,0.29,1.28,0.88,0.82,1.03,1.08,,1.3,1.7,1.73,1.73,7.24,0.23,2.55,,14.66,0.3,0.4
18,0.03,0.03,0.02,0.01,0.07,0.03,0.1,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.83,,0.04,,,2.56,0.52,0.14,0.31,0.66,0.33,0.68,0.72,1.07,2.08,,1.3,3.45,3.3,3.4,8.28,0.41,2.13,2.93,6.22,0.28,0.36
19,0.03,0.03,0.02,0.01,0.07,0.03,0.1,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.22,1.11,0.03,0.78,0.28,0.35,0.28,0.06,0.29,0.27,0.21,0.56,0.34,0.57,0.6,,1.02,1.64,1.62,1.63,,0.22,2.13,4.74,,0.08,0.22
20,0.03,0.03,0.02,0.01,0.07,0.03,0.1,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.28,0.15,,0.63,0.09,0.45,0.81,0.27,1.57,0.72,2.87,,,,,,2.32,,,,0.55,0.22,1.56,3.11,2.93,0.52,0.65
21,0.02,0.02,0.01,,0.03,0.02,0.05,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,,3.47,0.2,0.03,0.82,0.68,0.77,,0.37,,0.5,,,,,,,1.57,15.69,14.64,15.9,,0.35,1.37,,,0.32,0.43
22,0.03,0.03,0.01,,0.05,0.03,0.08,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,,1.17,0.01,0.17,,,,0.11,,0.19,,,,,,,1.87,,,,3.26,0.24,1.4,7.64,,0.28,0.29
23,0.02,0.02,0.01,,0.04,0.02,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,,,0.02,15.31,,,,0.2,,0.29,,,,,,,1.18,,,,,0.13,1.5,2.0,91.78,0.42,0.21
24,0.04,0.04,0.02,0.01,0.08,0.04,0.12,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.01,0.01,,,0.04,2.79,,,1.58,0.19,1.05,0.46,0.69,0.49,0.37,0.5,0.85,,1.29,2.56,2.43,2.47,,0.26,1.67,12.56,,0.27,0.21
25,0.01,0.01,,,0.02,0.01,0.03,0.01,0.01,,,0.01,0.01,0.02,0.01,,0.01,,,,0.84,2.79,0.09,0.06,0.32,0.22,0.4,0.74,1.2,2.51,,,1.9,,,,,0.13,1.36,2.88,,0.14,0.24
