Tag,Prediction,Actual,Time,Stock
Prediction,242.38443,249.9600067138672,2024-03-15 04:00:00+00:00,PXD
Prediction,244.27524,250.47000122070312,2024-03-14 04:00:00+00:00,PXD
Test,224.16831970214844,225.32880063187315,2024-03-14 04:00:00+00:00,PXD
Test,223.8389892578125,224.89686647849285,2024-03-13 04:00:00+00:00,PXD
Test,223.50392150878906,224.52095922443428,2024-03-12 04:00:00+00:00,PXD
Test,223.16233825683594,224.17177754574968,2024-03-11 04:00:00+00:00,PXD
Test,222.8460693359375,223.8048154288016,2024-03-08 05:00:00+00:00,PXD
Test,222.51548767089844,223.4495456385184,2024-03-07 05:00:00+00:00,PXD
Test,222.21502685546875,223.1188765286444,2024-03-06 05:00:00+00:00,PXD
Test,221.9762420654297,222.80272180773926,2024-03-05 05:00:00+00:00,PXD
Test,221.69219970703125,222.52003318642036,2024-03-04 05:00:00+00:00,PXD
Test,221.41270446777344,222.26783817378396,2024-03-01 05:00:00+00:00,PXD
Test,221.22999572753906,221.9813688765948,2024-02-29 05:00:00+00:00,PXD
Test,221.00921630859375,221.75220841547034,2024-02-28 05:00:00+00:00,PXD
Test,220.76661682128906,221.5263765741572,2024-02-27 05:00:00+00:00,PXD
Test,220.55172729492188,221.31253542471902,2024-02-26 05:00:00+00:00,PXD
Test,220.30003356933594,221.0946318998371,2024-02-23 05:00:00+00:00,PXD
Test,220.07264709472656,220.89421384432896,2024-02-22 05:00:00+00:00,PXD
Test,219.8772735595703,220.67403168213212,2024-02-21 05:00:00+00:00,PXD
Test,219.7208709716797,220.45472001397005,2024-02-20 05:00:00+00:00,PXD
Test,219.53077697753906,220.29330392660228,2024-02-16 05:00:00+00:00,PXD
Test,219.3734893798828,220.0993727559413,2024-02-15 05:00:00+00:00,PXD
Test,219.26400756835938,219.904417084328,2024-02-14 05:00:00+00:00,PXD
Test,219.13648986816406,219.78894098428114,2024-02-13 05:00:00+00:00,PXD
Test,219.0065460205078,219.65361043325504,2024-02-12 05:00:00+00:00,PXD
Test,218.85960388183594,219.4841928155177,2024-02-09 05:00:00+00:00,PXD
Test,218.69247436523438,219.3415360692852,2024-02-08 05:00:00+00:00,PXD
Test,218.58889770507812,219.13797385092963,2024-02-07 05:00:00+00:00,PXD
Test,218.5044403076172,218.9860295118863,2024-02-06 05:00:00+00:00,PXD
Test,218.42774963378906,218.82919992118403,2024-02-05 05:00:00+00:00,PXD
Test,218.30780029296875,218.6965131327498,2024-02-02 05:00:00+00:00,PXD
Test,218.14964294433594,218.54538758664208,2024-02-01 05:00:00+00:00,PXD
Test,217.9254150390625,218.37872285860908,2024-01-31 05:00:00+00:00,PXD
Test,217.6770782470703,218.1936634654739,2024-01-30 05:00:00+00:00,PXD
Test,217.4178466796875,217.94904614606747,2024-01-29 05:00:00+00:00,PXD
Test,217.187744140625,217.75334897915613,2024-01-26 05:00:00+00:00,PXD
Test,216.99917602539062,217.55588445748504,2024-01-25 05:00:00+00:00,PXD
Test,216.896728515625,217.3866941964108,2024-01-24 05:00:00+00:00,PXD
Test,216.85426330566406,217.28912896371642,2024-01-23 05:00:00+00:00,PXD
Test,216.84153747558594,217.24344099854042,2024-01-22 05:00:00+00:00,PXD
Test,216.8290252685547,217.23402272614464,2024-01-19 05:00:00+00:00,PXD
Test,216.8184051513672,217.21982648909562,2024-01-18 05:00:00+00:00,PXD
Test,216.79930114746094,217.2083108746875,2024-01-17 05:00:00+00:00,PXD
Test,216.78115844726562,217.18987512023276,2024-01-16 05:00:00+00:00,PXD
Test,216.69700622558594,217.1588429541537,2024-01-12 05:00:00+00:00,PXD
Test,216.62062072753906,217.04775274235516,2024-01-11 05:00:00+00:00,PXD
Test,216.5345001220703,216.98269555712312,2024-01-10 05:00:00+00:00,PXD
Test,216.4218292236328,216.90796651289605,2024-01-09 05:00:00+00:00,PXD
Test,216.26925659179688,216.80271633912753,2024-01-08 05:00:00+00:00,PXD
Test,216.09840393066406,216.65078351672204,2024-01-05 05:00:00+00:00,PXD
Test,215.88458251953125,216.44435790470112,2024-01-04 05:00:00+00:00,PXD
Test,215.6675262451172,216.24302779840613,2024-01-03 05:00:00+00:00,PXD
Test,215.50454711914062,216.00056988816291,2024-01-02 05:00:00+00:00,PXD
Test,215.38009643554688,215.78656583323573,2023-12-29 05:00:00+00:00,PXD
Test,215.28704833984375,215.64940645620268,2023-12-28 05:00:00+00:00,PXD
Train,215.15269470214844,215.51166449583468,2023-12-27 05:00:00+00:00,PXD
Train,214.9515380859375,215.3146574698695,2023-12-26 05:00:00+00:00,PXD
Train,214.76937866210938,215.09913757759193,2023-12-22 05:00:00+00:00,PXD
Train,214.60800170898438,214.90204704444093,2023-12-21 05:00:00+00:00,PXD
Train,214.4086456298828,214.70184112780848,2023-12-20 05:00:00+00:00,PXD
Train,214.1453399658203,214.52566766378567,2023-12-19 05:00:00+00:00,PXD
Train,213.91830444335938,214.28165326083948,2023-12-18 05:00:00+00:00,PXD
Train,213.71058654785156,214.0760388788313,2023-12-15 05:00:00+00:00,PXD
Train,213.53050231933594,213.8934897050019,2023-12-14 05:00:00+00:00,PXD
Train,213.4368133544922,213.68992868697984,2023-12-13 05:00:00+00:00,PXD
Train,213.3490447998047,213.57306731783686,2023-12-12 05:00:00+00:00,PXD
Train,213.22586059570312,213.49086712242405,2023-12-11 05:00:00+00:00,PXD
Train,213.10409545898438,213.35996226368857,2023-12-08 05:00:00+00:00,PXD
Train,213.0097198486328,213.23385554108782,2023-12-07 05:00:00+00:00,PXD
