Tag,Prediction,Actual,Time,Stock
Prediction,2647.3462,2756.389892578125,2024-03-15 04:00:00+00:00,CMG
Prediction,2663.1118,2748.52001953125,2024-03-14 04:00:00+00:00,CMG
Test,2714.770751953125,2748.5200195312495,2024-03-14 04:00:00+00:00,CMG
Test,2709.860595703125,2741.739615799709,2024-03-13 04:00:00+00:00,CMG
Test,2703.39599609375,2735.1406950232167,2024-03-12 04:00:00+00:00,CMG
Test,2699.1787109375,2728.5253518829804,2024-03-11 04:00:00+00:00,CMG
Test,2694.13525390625,2722.367514985926,2024-03-08 05:00:00+00:00,CMG
Test,2688.740478515625,2715.964970737289,2024-03-07 05:00:00+00:00,CMG
Test,2683.66650390625,2709.485922251876,2024-03-06 05:00:00+00:00,CMG
Test,2678.606201171875,2702.966441976513,2024-03-05 05:00:00+00:00,CMG
Test,2672.795166015625,2696.2182790377674,2024-03-04 05:00:00+00:00,CMG
Test,2667.867919921875,2689.3475185829025,2024-03-01 05:00:00+00:00,CMG
Test,2662.523681640625,2682.7128924944745,2024-02-29 05:00:00+00:00,CMG
Test,2656.83349609375,2676.0356892620434,2024-02-28 05:00:00+00:00,CMG
Test,2652.12353515625,2669.467940933844,2024-02-27 05:00:00+00:00,CMG
Test,2646.72509765625,2663.095345520389,2024-02-26 05:00:00+00:00,CMG
Test,2641.4384765625,2656.544414246381,2024-02-23 05:00:00+00:00,CMG
Test,2634.50537109375,2650.0748377481127,2024-02-22 05:00:00+00:00,CMG
Test,2629.376953125,2643.7383475018646,2024-02-21 05:00:00+00:00,CMG
Test,2624.28955078125,2637.8866950353813,2024-02-20 05:00:00+00:00,CMG
Test,2619.292236328125,2631.8987487181553,2024-02-16 05:00:00+00:00,CMG
Test,2613.72900390625,2625.7044206839105,2024-02-15 05:00:00+00:00,CMG
Test,2607.4052734375,2619.289354468183,2024-02-14 05:00:00+00:00,CMG
Test,2601.689453125,2612.8114857124538,2024-02-13 05:00:00+00:00,CMG
Test,2596.112060546875,2606.48502699923,2024-02-12 05:00:00+00:00,CMG
Test,2589.77294921875,2600.0319370525644,2024-02-09 05:00:00+00:00,CMG
Test,2585.60302734375,2593.255225526221,2024-02-08 05:00:00+00:00,CMG
Test,2577.0361328125,2586.5997474161118,2024-02-07 05:00:00+00:00,CMG
Test,2571.92919921875,2579.4635307852614,2024-02-06 05:00:00+00:00,CMG
Test,2567.707763671875,2573.9640840712395,2024-02-05 05:00:00+00:00,CMG
Test,2562.338623046875,2568.5865501704034,2024-02-02 05:00:00+00:00,CMG
Test,2557.05810546875,2563.0641219006916,2024-02-01 05:00:00+00:00,CMG
Test,2553.053466796875,2557.886246615338,2024-01-31 05:00:00+00:00,CMG
Test,2548.83056640625,2552.9896685839667,2024-01-30 05:00:00+00:00,CMG
Test,2543.26171875,2547.9588116194705,2024-01-29 05:00:00+00:00,CMG
Test,2539.096435546875,2543.0346844695982,2024-01-26 05:00:00+00:00,CMG
Test,2535.8291015625,2538.8301690126973,2024-01-25 05:00:00+00:00,CMG
Test,2531.618408203125,2534.7362763639485,2024-01-24 05:00:00+00:00,CMG
Test,2527.825439453125,2530.3904337973,2024-01-23 05:00:00+00:00,CMG
Test,2524.218505859375,2526.1404020917494,2024-01-22 05:00:00+00:00,CMG
Test,2520.27099609375,2521.8293877594397,2024-01-19 05:00:00+00:00,CMG
Test,2516.436767578125,2517.393828282732,2024-01-18 05:00:00+00:00,CMG
Test,2512.468994140625,2513.042661713697,2024-01-17 05:00:00+00:00,CMG
Test,2508.354736328125,2508.7827117109764,2024-01-16 05:00:00+00:00,CMG
Test,2504.95361328125,2504.6950834999907,2024-01-12 05:00:00+00:00,CMG
Test,2500.457275390625,2500.7577743643105,2024-01-11 05:00:00+00:00,CMG
Test,2496.4970703125,2496.7455496392126,2024-01-10 05:00:00+00:00,CMG
Test,2493.2744140625,2493.0204360901016,2024-01-09 05:00:00+00:00,CMG
Test,2489.402587890625,2489.398956867917,2024-01-08 05:00:00+00:00,CMG
Test,2486.510986328125,2485.70686825281,2024-01-05 05:00:00+00:00,CMG
Test,2483.56884765625,2482.2265981219966,2024-01-04 05:00:00+00:00,CMG
Test,2480.59130859375,2478.642914909206,2024-01-03 05:00:00+00:00,CMG
Test,2478.20849609375,2474.8984975871153,2024-01-02 05:00:00+00:00,CMG
Test,2474.0146484375,2471.0128511943553,2023-12-29 05:00:00+00:00,CMG
Test,2470.45556640625,2466.66485857737,2023-12-28 05:00:00+00:00,CMG
Train,2466.39892578125,2462.3729975972265,2023-12-27 05:00:00+00:00,CMG
Train,2461.556640625,2457.7483870663827,2023-12-26 05:00:00+00:00,CMG
Train,2456.963623046875,2452.9636594019944,2023-12-22 05:00:00+00:00,CMG
Train,2452.412841796875,2448.3011187952234,2023-12-21 05:00:00+00:00,CMG
Train,2448.216796875,2443.5746093540743,2023-12-20 05:00:00+00:00,CMG
Train,2443.177734375,2438.7411736892523,2023-12-19 05:00:00+00:00,CMG
Train,2438.160888671875,2433.7322107930636,2023-12-18 05:00:00+00:00,CMG
Train,2433.628662109375,2429.002568508915,2023-12-15 05:00:00+00:00,CMG
Train,2430.342041015625,2424.508279538975,2023-12-14 05:00:00+00:00,CMG
Train,2425.136962890625,2419.9342993638043,2023-12-13 05:00:00+00:00,CMG
Train,2420.154296875,2414.636484166209,2023-12-12 05:00:00+00:00,CMG
Train,2414.863525390625,2409.5083964333908,2023-12-11 05:00:00+00:00,CMG
Train,2410.478759765625,2404.6092085168957,2023-12-08 05:00:00+00:00,CMG
